Image,PSNR (dB),SSIM,Entropy,Edge Preservation (EPI),Correlation Coefficient (CC),NMI,GSSIM,RMSE,MAE
Pytorch_YCrCb_HYBRID_Fusion_00177.png,16.49,0.748,5.839,0.696,0.542,10.609,0.726,8.199,104.216
Pytorch_YCrCb_HYBRID_Fusion_00178.png,16.835,0.729,5.882,0.689,0.461,10.81,0.73,8.14,99.212
Pytorch_YCrCb_HYBRID_Fusion_00179.png,17.363,0.74,5.887,0.69,0.501,10.788,0.742,8.369,117.583
Pytorch_YCrCb_HYBRID_Fusion_00180.png,13.327,0.719,6.036,0.857,-0.557,10.701,0.789,10.476,76.748
Pytorch_YCrCb_HYBRID_Fusion_00181.png,13.397,0.71,6.031,0.86,-0.551,10.716,0.813,10.399,76.456
Pytorch_YCrCb_HYBRID_Fusion_00182.png,13.457,0.711,6.053,0.861,-0.541,10.822,0.816,10.409,77.599
Pytorch_YCrCb_HYBRID_Fusion_00183.png,13.811,0.752,6.092,0.697,-0.388,10.781,0.86,10.32,71.281
Pytorch_YCrCb_HYBRID_Fusion_00184.png,13.823,0.749,6.112,0.699,-0.41,10.842,0.86,10.348,72.283
Pytorch_YCrCb_HYBRID_Fusion_00185.png,13.829,0.749,6.107,0.7,-0.412,10.858,0.865,10.363,72.557
Pytorch_YCrCb_HYBRID_Fusion_00186.png,18.245,0.779,6.35,0.672,0.381,10.982,0.712,9.955,78.427
Pytorch_YCrCb_HYBRID_Fusion_00187.png,18.699,0.786,6.3,0.671,0.491,10.898,0.725,9.92,74.057
Pytorch_YCrCb_HYBRID_Fusion_00188.png,18.83,0.788,6.282,0.671,0.523,10.871,0.729,9.928,71.964
Pytorch_YCrCb_HYBRID_Fusion_00189.png,18.897,0.788,6.291,0.672,0.532,10.858,0.742,9.971,70.836
Pytorch_YCrCb_HYBRID_Fusion_00190.png,15.39,0.63,6.244,0.601,0.025,12.286,0.761,9.725,83.218
Pytorch_YCrCb_HYBRID_Fusion_00191.png,15.271,0.626,6.227,0.602,0.007,12.268,0.75,9.755,82.189
Pytorch_YCrCb_HYBRID_Fusion_00192.png,15.284,0.628,6.243,0.602,-0.006,12.264,0.749,9.744,81.791
Pytorch_YCrCb_HYBRID_Fusion_00193.png,15.301,0.628,6.228,0.603,-0.002,12.229,0.752,9.738,81.015
Pytorch_YCrCb_HYBRID_Fusion_00194.png,14.438,0.595,6.301,0.601,0.013,12.177,0.731,9.61,100.2
Pytorch_YCrCb_HYBRID_Fusion_00195.png,14.423,0.593,6.312,0.596,0.003,12.2,0.735,9.619,108.12
Pytorch_YCrCb_HYBRID_Fusion_00196.png,13.539,0.658,6.045,0.628,-0.24,11.317,0.818,9.989,98.112
Pytorch_YCrCb_HYBRID_Fusion_00197.png,11.955,0.633,6.59,0.666,-0.012,12.41,0.859,10.752,116.586
Pytorch_YCrCb_HYBRID_Fusion_00198.png,12.106,0.651,6.595,0.676,0.002,12.391,0.871,10.807,111.769
Pytorch_YCrCb_HYBRID_Fusion_00199.png,11.993,0.658,6.509,0.689,0.075,12.525,0.887,10.682,107.599
Pytorch_YCrCb_HYBRID_Fusion_00200.png,11.985,0.659,6.526,0.713,-0.003,12.384,0.882,10.693,106.929
Pytorch_YCrCb_HYBRID_Fusion_00201.png,12.107,0.646,6.544,0.687,0.075,12.382,0.865,10.804,114.459
Pytorch_YCrCb_HYBRID_Fusion_00202.png,12.528,0.61,6.887,0.69,0.29,13.091,0.813,10.598,126.028
Pytorch_YCrCb_HYBRID_Fusion_00203.png,12.598,0.608,6.897,0.684,0.317,13.181,0.799,10.547,122.417
Pytorch_YCrCb_HYBRID_Fusion_00204.png,12.694,0.609,6.902,0.679,0.337,13.219,0.837,10.495,123.905
Pytorch_YCrCb_HYBRID_Fusion_00205.png,12.599,0.605,6.881,0.679,0.308,13.187,0.821,10.487,122.342
Pytorch_YCrCb_HYBRID_Fusion_00206.png,11.986,0.672,6.753,0.765,0.545,12.59,0.873,10.647,133.837
Pytorch_YCrCb_HYBRID_Fusion_00207.png,11.336,0.641,6.702,0.722,0.166,12.65,0.859,10.812,129.106
Pytorch_YCrCb_HYBRID_Fusion_00208.png,11.457,0.627,6.855,0.911,0.488,13.147,0.824,10.787,146.404
Pytorch_YCrCb_HYBRID_Fusion_00209.png,12.676,0.623,6.588,0.705,0.066,12.69,0.826,10.291,127.679
Pytorch_YCrCb_HYBRID_Fusion_00210.png,13.062,0.636,6.706,0.628,0.218,12.028,0.823,10.793,121.879
Pytorch_YCrCb_HYBRID_Fusion_00211.png,13.064,0.604,6.758,0.614,0.369,12.35,0.821,10.378,117.443
Pytorch_YCrCb_HYBRID_Fusion_00212.png,12.778,0.63,6.887,0.666,0.397,12.016,0.82,9.688,97.532
Pytorch_YCrCb_HYBRID_Fusion_00213.png,12.706,0.606,6.923,0.659,0.389,12.256,0.803,10.185,108.041
